Name,Category,WaterNeeds,LightNeeds,Traits,SpringCare,SummerCare,FallCare,WinterCare,Advice
Chinese Evergreen,Broadleaf foliage,Lightly moist,Moderate indirect,"resilient, low-light tolerant, air-purifying","Start monthly feeding; Rotate regularly","Mist lightly; Avoid harsh sun","Ease off watering; Wipe leaves","Water less often; Avoid drafts","Can survive neglect. Best in filtered light. Use soil with perlite and bark. Toxic to pets. Wipe leaves to maintain shine."
Spider Plant,Grasslike foliage,Let top inch dry,Part shade to bright indirect,"beginner-friendly, fast-growing, air-purifying","Feed monthly; Remove offshoots","Water a bit more in heat; Mist occasionally","Cut brown tips; Reduce watering","Move to brighter spot; Water less often","Prefers to be rootbound. Avoid fluoride in tap water. Great for hanging pots. Brown tips are common but not dangerous."
Parlor Palm,Palm,Water when top inch is dry,Bright indirect,"low light-tolerant, pet safe, slow-growing","Light monthly feeding; Trim dead fronds","Increase light slightly; Mist weekly","Reduce feeding; Maintain light","Keep warm; Avoid overwatering","Classic indoor palm. Likes consistent conditions. Yellow leaves often mean too much water or low light. Avoid cold spots."
Orchid,Flowering,Let dry between watering,Bright indirect,"blooming, fussy roots, elegant","Use bloom fertilizer; Avoid crown watering","Watch humidity; Use airy bark mix","Cut old flower spikes; Feed lightly","Keep in bright room; Water once per week","Needs orchid-specific potting mix. Water at base, not the crown. Keep roots airy. Mist only in dry air. Avoid soggy roots."
Donkey Ears,Succulent,Let top 2 inches dry,Part shade,"puckered leaves, makes pups, hardy","Water lightly; Check for new pups","Can tolerate full sun; Water deeply","Cut back leggy growth; Use dry soil","Keep dry and warm","Kalanchoe with thick leaves and pups on edges. Needs sandy soil and strong drainage. Do not overwater. Remove pups to repot."
Nerve Plant,Tropical groundcover,Keep moist,Bright indirect,"small, colorful veins, high humidity","Feed monthly; Mist daily","Keep cool and moist; Avoid sun","Ease up watering; Watch leaf edges","Use humidifier or tray","Also called Fittonia. Perfect for terrariums. Droops dramatically when thirsty. Use peat-based soil. High humidity is essential."
Philodendron Heartleaf,Vine,Let top inch dry,Bright indirect,"trailing, easy, light toxicity","Start feeding monthly; Add stake or trellis","Trim vines; Avoid direct sun","Rotate plant; Reduce watering","Water only when soil feels dry","Great for hanging or shelf pots. Easy to propagate. Slightly toxic. Use airy soil with perlite. Wipe leaves monthly."
Club Moss (Frosty),Moss-like foliage,Keep moist,Moderate indirect,"shallow-rooted, soft, humidity-lover","Use pebble tray; Mist regularly","Avoid direct heat; Keep moist","Trim lightly; Reduce watering","Keep tray full; Provide stable humidity","Prefers peat and coir in shallow containers. Very sensitive to drying out. Ideal for bathrooms. Keep away from direct heat."
Peace Lily,Flowering,Keep soil moist,Low to Medium indirect,"blooming, sensitive, air-purifying","Start fertilizer routine; Clean leaves","Mist often; Avoid bright light","Fewer blooms expected; Reduce watering","Keep warm and humid","Easy to read: wilts when thirsty, perks up after. Great for low light. Soil should stay evenly moist. Toxic if ingested."
"Rex Begonia","Tropical foliage","Keep moist; let top dry","Moderate indirect","bright leaves, shallow-rooted, fussy","Feed biweekly; Use shallow pot","Avoid direct sun; Mist carefully","Ease up feeding; Trim leggy growth","Keep warm; Use humidifier","Gorgeous foliage plant. Needs porous mix in shallow container. Keep leaves dry. Avoid moving often. Bright but indirect light preferred."
